Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20
500.000000	4.751476	1.706084	5.307587	7.690902	3.102629	0.463238	7.450993	6.327972	9.470105	2.668944	3.535699	4.022916	1.316238	4.210727	1.271692	6.363490	4.918545	3.839203	3.462238	7.583692
501.000000	6.430273	2.547434	4.092622	6.493399	5.788308	3.215608	4.852629	6.116601	4.567741	3.577860	4.794483	1.205483	3.752706	5.104224	1.777392	4.697832	4.146427	3.685070	3.232014	6.212420
502.000000	7.357026	3.323382	3.612480	5.861182	7.190303	5.027098	3.605741	5.832695	2.415487	4.258564	5.250037	0.101949	5.115217	5.576834	1.981140	3.567179	3.986312	3.280184	2.902599	5.383646
503.000000	7.705535	4.018915	3.692127	5.661323	7.620853	6.087253	3.409297	5.517392	2.321966	4.746584	5.131779	0.297564	5.660762	5.701510	2.012403	2.929698	4.250811	2.750507	2.577157	4.980501
504.000000	7.649601	4.619016	4.156529	5.760893	7.392196	6.585620	3.962266	5.211832	3.595802	5.077448	4.669121	1.377578	5.646336	5.551203	2.000648	2.743555	4.752531	2.222000	2.358853	4.886117
505.000000	7.363026	5.108671	4.830653	6.026963	6.816569	6.711746	4.963615	4.957156	5.545618	5.286683	4.091480	2.927240	5.328930	5.198862	2.075340	2.966916	5.304082	1.820625	2.350851	4.983622
506.000000	7.096571	5.536047	5.766909	6.111464	6.524019	6.824606	5.961068	4.923855	6.664464	5.531881	3.935925	3.577837	5.315746	4.642261	2.933478	4.046765	4.696730	1.655140	2.840702	4.829492
507.000000	7.080268	5.169881	5.417541	6.100462	6.973639	7.077124	6.598168	4.959077	6.890697	5.676816	4.249133	4.696184	6.163100	4.311441	3.996413	5.305676	4.540520	2.213503	4.395149	5.211718
508.000000	6.957704	5.572189	4.924592	6.080963	7.822853	7.227145	6.711329	5.009814	6.595737	5.374846	4.608422	5.798305	5.446592	3.584100	4.670779	5.706443	5.356203	3.412112	5.371564	5.274140
509.000000	7.544126	6.084277	5.716336	6.020641	7.092448	7.830501	6.228543	5.435105	5.871972	6.241776	5.867098	6.312944	6.100310	3.207932	5.398636	6.369163	6.122655	4.431408	6.324417	4.915744
510.000000	7.428012	5.470354	6.305182	5.767946	7.135219	7.996783	5.949394	5.750387	5.141932	5.993240	6.619641	6.045520	6.585035	3.810089	5.457723	6.742492	7.041280	5.374753	6.836483	3.837571
511.000000	7.791364	6.192527	6.828727	5.282681	6.957886	9.216781	4.795266	5.404345	4.271648	6.071117	5.820478	6.074198	7.467063	4.092033	5.440380	6.269977	7.571772	7.282331	7.030378	3.460016
512.000000	7.083261	6.806105	7.777730	5.893324	7.781562	9.132942	4.048282	5.931040	3.774417	5.318622	5.844881	6.599128	7.035347	4.742147	5.063385	5.803869	7.077487	8.644056	7.012972	3.119967
513.000000	7.124450	7.425942	8.553949	6.130438	8.083193	10.078956	3.561345	7.208702	4.633413	5.500601	5.948597	6.681604	7.486303	5.153147	4.894098	6.104056	7.324037	8.895135	6.376438	2.667692
514.000000	7.850084	7.422354	9.004608	7.205650	7.514147	9.772354	4.098900	7.636716	5.994401	4.663886	5.069520	7.210590	7.783853	5.413259	4.427417	5.790282	7.606951	8.549730	5.375846	2.847368
515.000000	8.284939	7.784573	10.019354	6.668368	7.039506	9.533541	5.231469	8.180166	6.884140	4.601923	4.924131	7.036832	7.890410	5.481506	4.265096	5.425312	7.204536	8.293888	5.886121	3.913748
516.000000	9.433499	7.437242	10.776378	7.464112	8.526674	9.554669	6.546193	8.277354	7.410846	4.398457	4.340499	6.288089	8.317364	4.743056	5.383869	6.550084	5.883380	7.675312	6.062552	4.889100
517.000000	10.782490	7.086886	9.460702	7.566548	10.055965	10.305499	7.809706	8.744317	7.313259	5.118594	5.261965	6.337499	8.257599	4.727280	6.940923	6.932287	6.488396	7.011375	7.459746	5.468953
518.000000	10.988688	6.771191	9.608172	7.943438	10.421727	10.270606	8.595918	9.521401	7.394939	5.782098	6.042667	6.457420	7.580855	5.297068	8.736825	7.633175	7.110016	6.988611	8.803499	6.090946
519.000000	12.122289	7.090921	10.236949	9.240760	9.651296	9.754434	9.872667	9.606746	8.123193	6.792203	7.512858	6.438021	7.702133	6.350333	10.444357	8.218490	8.511333	7.027000	9.733886	6.800625
520.000000	12.749881	7.503748	11.546028	10.542569	9.281042	9.765716	10.648093	9.688350	8.907270	7.850944	7.911494	6.703441	8.874979	7.157298	11.845767	8.763900	8.855611	7.611888	9.908606	7.385795
521.000000	14.423203	8.988678	11.833273	12.166590	9.899587	10.651054	11.703828	10.115650	9.637147	8.861662	7.924219	7.581590	8.489322	7.920555	13.125669	8.660578	9.184331	9.387028	10.909070	7.927401
522.000000	14.268904	10.317070	12.863786	14.300075	10.563599	10.905399	11.847308	11.036513	10.207310	9.950499	8.521650	8.623352	8.852888	9.320818	13.994065	8.787893	9.821923	10.609648	11.439110	8.186706
523.000000	14.354242	11.979413	13.537534	15.012191	11.451883	12.371296	12.303916	13.219963	10.794166	11.867172	10.007499	9.881131	9.988627	10.437890	15.011091	10.315949	11.128354	11.477709	10.907825	9.260893
524.000000	15.445641	13.907569	15.239422	15.829124	11.909413	13.734420	12.962261	15.017911	11.473422	12.205797	11.151683	11.508161	11.617375	11.858182	15.157520	10.342967	11.964811	12.720709	10.600280	10.475408
525.000000	16.330233	16.236254	16.943152	15.832497	13.105823	14.797893	13.190629	15.571956	11.547189	14.484273	12.555226	13.470872	13.507513	12.993828	14.798928	10.948639	13.276471	14.724681	11.639382	12.620986
526.000000	18.622098	18.644051	17.659958	16.344047	14.171674	16.395096	14.593590	16.592406	11.945629	15.644886	14.297697	14.847240	14.886373	13.651347	15.133240	12.336177	14.034814	16.028737	12.221963	14.363939
527.000000	21.107809	20.432023	18.182238	17.693916	16.845636	18.490107	16.529790	17.353653	12.086681	16.708242	17.564830	15.231166	15.956557	15.542676	14.833287	13.405741	16.666434	16.580047	13.643956	15.432846
528.000000	23.183240	22.198065	19.557599	19.491585	18.681469	19.673193	18.441888	19.211636	14.080235	17.186270	18.085772	16.703193	17.321021	17.327758	14.792564	15.200438	18.002816	17.121772	15.373455	16.891133
