Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20
500.000000	6.814650	1.861280	2.976133	5.403413	4.168490	3.575154	2.701706	4.106853	2.529678	1.443301	2.938895	2.936063	1.180783	6.106993	1.850266	0.186559	-0.097958	-0.252685	1.485077	3.244462
501.000000	5.149545	0.753734	3.170958	3.170636	3.569231	2.831720	4.115336	2.037378	2.864601	1.758329	4.415350	3.787063	1.524413	3.538979	1.207566	0.789832	2.718182	1.404748	1.711154	3.718839
502.000000	4.132613	0.639107	3.303914	2.291767	3.177228	2.432382	4.570650	1.015089	3.004154	2.237601	5.279967	3.863632	1.820648	2.206291	0.995005	1.256608	4.037415	2.292135	2.057517	4.013800
503.000000	3.635614	1.239157	3.379196	2.434066	2.979639	2.317020	4.320322	0.825622	3.025205	2.796318	5.669852	3.415552	2.056659	1.839430	1.133622	1.659436	4.236206	2.637628	2.511803	4.154721
504.000000	3.530310	2.275643	3.401000	3.264797	2.963618	2.425513	3.617021	1.254615	3.004625	3.349678	5.722107	2.692608	2.219613	2.168895	1.544462	2.070862	3.691021	2.669380	3.061646	4.166984
505.000000	3.688462	3.470324	3.373522	4.451221	3.116322	2.697741	2.713420	2.087704	3.019282	3.812881	5.573837	1.944583	2.296681	2.925186	2.148564	2.563436	2.778324	2.615543	3.694681	4.075965
506.000000	4.309639	4.033445	2.944531	5.398552	3.314126	3.525366	1.695368	3.394347	3.193648	3.708925	6.229797	1.964951	1.624305	3.594168	3.021678	3.955804	2.390725	3.530040	4.223385	3.055378
507.000000	4.041841	4.655548	2.956793	5.614033	4.087510	3.759252	1.551648	3.605872	3.729883	3.252522	5.499569	2.035042	2.272054	3.667280	3.525058	4.483888	2.487858	4.294559	4.785909	3.369448
508.000000	4.138317	4.118923	3.281807	5.693452	4.420625	3.762834	2.146124	4.022587	4.577054	3.580040	4.594953	2.514550	2.206100	4.336268	4.326711	5.266524	2.436058	4.603576	6.005881	4.005853
509.000000	3.866098	3.687895	3.538555	5.428459	5.302492	3.696452	3.057855	4.273420	4.850904	3.689478	4.567802	3.319825	2.421569	4.313867	4.634366	5.634021	2.895587	5.327002	7.018382	4.428380
