Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20
500.000000	31.135944	20.432727	25.420699	16.342378	21.382098	17.153217	22.409930	20.334056	18.148462	18.999161	19.005315	25.490140	28.533497	16.950490	28.478671	17.060070	27.389231	16.062587	19.536084	25.399510
501.000000	26.047483	19.190490	23.370769	19.411748	20.049790	19.930070	22.044545	20.720629	17.596084	20.748531	19.367483	22.418951	24.440699	18.368392	24.785385	20.924126	25.937203	18.834615	21.734895	20.489021
502.000000	22.690326	18.587413	22.205548	21.219697	19.651422	21.837949	21.426480	21.230000	18.142354	21.930979	19.939254	20.933147	21.697879	19.223054	22.124056	22.990932	24.833124	20.961725	22.867016	18.587809
503.000000	20.801247	18.564744	21.776888	22.090991	20.008217	23.013333	20.748217	21.856841	19.475548	22.699977	20.668986	20.690350	20.149942	19.733974	20.412995	23.687133	24.058019	22.540012	23.206970	18.925455
504.000000	20.117016	19.063730	21.936643	22.350396	20.941399	23.592704	20.202238	22.595828	21.283939	23.208998	21.505035	21.348182	19.641795	20.120653	19.570513	23.439371	23.592914	23.665571	23.029277	20.731538
505.000000	20.374406	20.025618	22.536667	22.322681	22.272191	23.712541	19.981026	23.441632	23.255804	23.611515	22.395758	22.564266	20.018345	20.602587	19.514918	22.674289	23.418834	24.434499	22.608462	23.235641
506.000000	22.000653	20.995268	22.955175	23.142844	23.775664	23.411772	21.043823	24.225594	24.569441	24.460723	23.155431	23.640396	21.918298	22.328928	20.900676	22.798671	23.199417	25.142168	22.264172	24.482984
507.000000	22.482005	23.116107	23.965105	23.255711	25.118065	22.320093	22.759697	26.042517	25.145338	25.603613	24.049580	24.918182	23.614452	24.570303	21.740443	22.178275	23.942657	25.501981	22.879207	24.811725
508.000000	22.604056	26.115524	25.705455	23.541888	26.118601	22.701585	24.047529	26.700583	25.734522	26.480676	24.444382	24.936737	24.375035	25.740256	23.159464	21.927622	24.859184	25.023030	23.925035	24.165734
509.000000	23.866643	27.671981	27.064266	25.910117	27.048625	23.492238	25.248881	27.196061	26.672051	26.581142	25.535012	25.536340	25.595641	26.223590	24.530443	22.289277	25.664056	25.691515	24.322704	24.914709
510.000000	26.162424	29.320443	27.879371	26.851585	28.017949	25.440047	26.732121	28.031678	28.046061	26.532937	27.410186	25.813287	26.362751	27.414359	26.923310	23.748228	25.426107	25.879907	25.582284	25.122564
511.000000	28.053730	28.950536	28.184289	27.648485	28.089464	26.829044	27.957040	29.399837	28.066737	28.865524	28.185198	27.032774	26.500326	27.473450	28.689744	25.000699	26.014872	27.843497	26.712844	24.461678
512.000000	29.053473	28.868951	29.253193	27.580746	28.905991	28.111841	28.899417	29.040583	28.213124	29.224103	28.618345	28.473776	26.529557	27.195594	29.221119	25.699207	27.286270	29.005221	27.040117	24.285455
513.000000	28.285874	29.970629	29.967669	27.282121	28.542890	29.076807	28.847902	29.181981	29.129301	29.226364	29.745291	29.079977	26.503636	27.601725	29.017319	25.753287	29.396480	30.095921	27.488205	25.221818
514.000000	28.564662	29.764312	31.423170	28.352121	29.338228	29.719674	28.299510	29.298042	29.447040	29.900303	30.380420	30.699394	27.032308	27.876503	28.437972	26.732751	31.106084	30.155128	27.534802	26.923753
515.000000	29.722051	30.018788	31.619977	27.927296	29.231818	30.675688	28.335851	29.850816	29.188834	30.279464	31.181259	31.912424	27.255152	27.550326	28.646713	27.357646	30.860559	30.188974	28.509044	28.674918
