Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20
500.000000	15.776923	21.193217	20.306154	25.700070	22.606294	23.671608	17.505245	18.936364	20.596154	15.736643	22.759161	17.628182	22.417133	19.190000	22.361259	28.767972	26.887273	20.229021	23.910070	18.111119
501.000000	19.481469	20.920979	20.772378	23.234755	21.179580	21.309371	18.785874	21.533636	19.868741	18.393007	22.530909	20.912587	21.060210	21.178112	22.485594	23.398042	22.838811	21.217203	20.884615	19.582168
502.000000	21.744033	20.752191	20.678345	21.480117	20.318438	19.809650	20.023543	22.760000	19.366224	19.737016	22.052611	22.218834	20.089254	22.063660	22.859674	20.389487	20.462214	21.764685	19.226224	20.614685
503.000000	22.849860	20.654242	20.183275	20.334336	19.879021	19.024266	21.133089	22.946818	19.085699	20.120082	21.474510	22.064510	19.463228	22.118089	23.362890	19.179767	19.424627	21.950851	18.631876	21.267179
504.000000	23.084196	20.594522	19.446387	19.695594	19.717483	18.805035	22.029347	22.425455	19.024266	19.893613	20.946853	20.967203	19.141096	21.612844	23.874639	19.206340	19.393193	21.855082	18.798555	21.598159
505.000000	22.732284	20.540420	18.626900	19.462075	19.689977	19.003776	22.627156	21.527273	19.179021	19.409021	20.619883	19.444499	19.081818	20.819371	24.274312	19.906667	20.035058	21.556760	19.423240	21.666131
506.000000	22.477086	19.927319	18.217133	19.633380	19.708531	19.422960	21.673100	21.313776	20.155455	19.846643	21.681282	18.969068	19.321189	20.647949	24.680443	19.510956	21.034569	21.069324	20.400816	21.171142
507.000000	22.051026	20.381515	17.721329	19.646107	18.563310	19.623450	21.645175	20.723240	20.541515	20.618555	22.348345	18.906364	19.935967	20.623217	24.216224	19.193776	21.166667	20.294499	20.676503	20.728834
508.000000	21.376061	20.265221	17.340676	19.725758	18.115455	20.289907	21.964406	20.482191	20.993310	21.076410	22.598345	18.734219	20.075594	19.802354	22.221469	19.160466	21.646107	20.308788	20.422587	21.357879
509.000000	20.776340	19.789907	17.466037	20.494895	17.611352	21.330816	22.254382	20.431399	20.625944	21.175361	23.244825	18.949790	20.484359	20.096084	21.303403	19.086480	22.760909	20.097389	19.841329	21.435571
510.000000	20.959138	19.883986	18.318601	21.381515	17.727016	22.110956	22.410699	21.098065	20.381725	21.656387	22.853030	20.055688	20.488042	20.532984	21.512914	18.737156	22.613333	20.680862	18.752168	21.535385
511.000000	21.077296	20.133170	18.805804	21.865501	18.765478	22.743753	22.605291	22.521305	21.163007	21.836014	23.144219	20.575781	20.767832	20.823147	20.962960	19.449184	21.835198	20.517179	18.787692	21.536573
512.000000	22.128531	20.614499	18.801958	21.531795	20.163613	23.333566	22.901212	23.253543	20.751678	22.069254	22.504569	20.526783	20.807622	20.324802	19.868019	19.062914	21.069790	20.534242	19.735198	21.725571
513.000000	22.539860	21.511608	18.945594	21.915221	21.109674	24.682214	22.814126	23.907436	20.606037	22.062937	22.187832	21.073403	21.002681	20.421282	19.965571	19.296713	20.643193	21.035688	19.738904	22.048065
514.000000	23.061515	22.449487	19.313030	22.190816	21.974266	24.553124	22.072867	24.050536	20.571772	22.759464	20.858531	20.910886	21.175991	20.548788	20.715291	20.974242	21.045105	21.269604	19.689767	22.057249
515.000000	23.435431	22.799860	20.185664	21.860746	22.873543	23.400676	21.154219	23.679394	21.240653	23.170513	20.044988	21.195315	21.189860	20.078228	21.588578	21.761305	21.040047	22.031562	20.480373	22.739441
516.000000	23.604592	23.671119	20.429231	22.216107	22.866247	22.467972	19.883357	23.815198	22.450723	24.338718	20.474103	21.760839	21.739930	20.717529	21.662121	21.499790	21.646597	21.813333	21.213520	22.897692
517.000000	23.420699	24.344848	20.790932	22.269114	21.773287	20.689324	19.658019	23.393916	22.983566	24.291189	20.552214	21.744545	21.456946	21.180163	22.720839	22.169441	22.338858	22.291352	21.633776	22.582448
518.000000	23.685478	23.292401	21.352284	22.232424	21.765571	20.048089	19.573520	22.821329	23.446294	23.777692	20.179161	21.532214	22.103077	22.294429	22.971911	21.712121	23.409953	22.870256	21.609161	22.778671
