Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20
500.000000	803.624476	800.723077	817.744056	814.888112	790.365035	828.717483	829.888112	810.955245	833.869231	816.419580	808.727273	811.763636	812.653147	817.668531	802.565035	803.942657	803.460140	815.627972	805.144056	819.022378
501.000000	830.846154	828.134266	835.249650	838.497203	824.573427	846.365734	855.665734	847.660839	853.789510	858.127273	834.705594	845.672028	836.288811	839.327972	835.425874	823.987413	833.527972	838.557343	834.781119	845.070629
502.000000	855.604429	852.474359	855.310023	862.563170	854.203497	867.551981	879.537296	879.996737	875.100233	892.191608	859.531469	872.327506	858.554545	861.346154	864.698135	846.287646	859.626807	861.313054	860.490443	870.130070
503.000000	877.900816	874.228089	876.791142	886.302214	879.791142	890.924359	901.599650	908.236830	897.008974	919.606876	882.954429	893.180886	879.432751	883.227273	890.494406	869.774009	882.198135	883.385198	882.713403	893.795105
504.000000	897.736830	893.880186	898.558974	908.930536	901.872261	915.131002	921.949650	932.655012	918.723310	941.367366	904.724009	909.682984	898.905828	904.475524	912.927273	893.377156	901.683450	904.263869	901.891375	915.660140
505.000000	915.113986	911.915385	919.479487	929.664336	920.982751	938.820047	940.684149	953.525175	939.450816	958.467366	924.589744	923.284615	916.956177	924.595105	932.109324	916.027739	918.524242	923.439161	918.465734	935.319580
506.000000	928.560606	933.720513	936.865734	947.075291	940.067133	956.236597	957.151282	969.730303	955.094172	973.603963	943.485548	938.268531	933.966900	943.862704	948.472727	935.905361	932.954079	940.811888	930.933800	950.658974
507.000000	943.622611	948.000932	950.882517	962.301865	955.825874	977.297669	973.705594	986.686014	972.085082	984.147552	958.621911	951.362238	948.176224	959.522611	958.426573	952.281119	946.516317	951.652448	946.824942	965.953613
508.000000	953.124009	961.327972	963.682517	968.377156	966.345455	992.712587	990.307692	1000.314685	986.024009	994.406061	967.328671	965.669231	962.824242	974.136131	970.761305	963.691608	957.410723	962.778322	958.220513	976.005361
509.000000	958.725874	973.348718	970.406527	974.294872	973.677622	1001.910490	1001.077389	1008.762704	1001.218881	1002.604196	974.368765	978.960606	973.597669	981.272727	978.446387	970.630769	965.415851	973.614685	970.017483	981.937296
510.000000	965.019347	982.024009	977.765035	977.919114	979.750350	1008.875991	1009.384382	1015.904429	1010.387646	1007.400932	982.452914	987.607226	985.964569	985.857343	988.055478	976.303963	975.544988	979.665967	975.327506	984.539860
511.000000	968.603263	984.118182	981.356410	980.411655	983.103730	1014.023543	1013.800466	1021.875291	1014.094872	1012.905828	985.995804	989.218881	992.436364	990.095105	991.036364	977.155711	982.820047	984.646387	982.102797	988.977156
512.000000	968.699767	985.106061	983.140326	986.064569	986.223543	1012.148019	1011.504662	1021.427040	1012.119114	1016.905128	989.990909	989.763170	992.712354	989.301632	994.711422	979.137995	983.287179	986.819347	988.575991	996.210023
513.000000	966.627040	982.788112	982.744988	990.099068	986.327972	1006.738228	1010.155711	1019.082517	1008.579254	1016.591375	987.382984	989.515385	990.550816	984.612821	996.222844	978.486247	984.993706	989.055012	990.503263	997.732867
514.000000	962.535897	976.685548	980.309790	990.108858	984.875991	1000.326107	1005.432634	1013.334499	1003.743823	1009.713520	985.617483	986.350350	983.799534	980.740559	993.441259	975.735198	985.963636	989.328671	990.247786	1001.756177
515.000000	959.086713	969.320280	979.372261	988.696970	980.812121	991.985548	1003.892541	1005.068998	999.394872	1007.227273	983.740326	981.430536	977.206527	978.715152	989.778322	977.713287	983.465035	986.018415	987.628904	1000.309557
516.000000	958.226573	964.869231	972.918415	983.616550	977.223077	982.990210	1001.204429	995.893240	991.050350	1002.273660	978.579021	978.051515	968.365268	975.759907	981.670629	973.122844	977.883217	978.814918	981.006294	997.349650
517.000000	955.408625	957.130303	964.105828	974.765268	966.215385	974.834732	993.438695	990.354312	984.145688	994.059907	972.962238	968.889277	956.584149	971.505128	972.497436	965.640093	965.579254	967.953846	972.906993	988.314685
518.000000	947.737063	948.236830	955.407226	961.865734	953.270862	962.355944	985.832867	983.352448	973.906527	987.540326	964.350350	960.546387	947.839860	967.090210	961.894872	952.864802	953.087179	956.862704	959.739627	975.811422
519.000000	938.158508	938.075524	940.483683	950.278089	940.434499	950.272494	972.795571	973.972028	964.766667	976.555012	950.266900	950.569930	938.379487	957.533800	948.742191	938.979720	940.881352	943.249184	947.199301	961.115618
520.000000	926.025874	926.129604	929.407226	936.194872	927.485082	941.489744	961.574592	964.155245	955.407925	963.261305	935.514452	938.229837	929.092075	945.903263	934.938228	924.413520	929.549883	931.965035	930.845221	945.768531
521.000000	910.642424	909.516550	916.375991	922.698135	911.389744	930.450816	946.573193	951.618881	938.908159	950.508159	921.082284	922.113054	917.037296	931.608392	921.013520	909.248252	915.330070	917.921445	918.109091	930.624476
522.000000	892.749883	893.226807	898.552681	908.425408	895.980420	916.673660	930.538695	936.363869	922.026107	935.141492	905.402564	905.214219	903.726807	913.062704	909.163636	893.785082	898.636364	903.648019	905.621212	913.015851
523.000000	874.132401	875.713520	880.829371	889.952914	879.074359	898.489510	912.352214	916.492308	904.985781	918.895804	886.085315	889.393706	889.449883	893.680886	892.605594	876.304429	884.445688	889.892541	888.633800	890.999534
524.000000	856.028438	856.580186	862.944988	872.036131	863.668765	877.913054	893.194172	897.986480	884.893939	900.725874	869.630303	872.617716	872.881119	873.616550	873.430070	858.281585	864.931702	876.700233	871.421212	872.758508
525.000000	837.425408	838.395571	845.626107	853.927273	847.124009	858.605128	875.735431	873.599767	866.027040	882.817016	851.054079	852.581352	855.509091	856.704429	854.942657	842.453846	849.688345	858.244289	852.236830	852.226340
526.000000	821.423077	818.896503	824.939161	832.952914	826.227273	840.118182	858.056410	850.270629	845.556876	860.829371	829.070629	829.675524	836.047086	835.426107	832.837762	823.656410	832.096037	839.591608	833.304429	831.624942
527.000000	803.621911	798.886713	804.485781	810.879487	804.274126	818.361538	835.950583	828.008858	825.125641	835.402331	813.701166	804.166434	813.091142	814.348718	809.732401	805.888345	810.401632	816.696737	813.864569	809.973193
528.000000	780.687413	777.893473	785.656643	787.589744	781.893240	794.016317	812.375291	806.143590	804.481119	811.752914	794.369231	781.732867	790.925175	794.875524	786.361305	787.912587	792.974359	791.554779	793.406061	791.340093
529.000000	757.346154	757.928438	765.700000	764.951282	758.621212	768.474359	788.659674	785.073427	784.308392	785.262937	769.657110	759.375291	766.301166	774.193939	764.424709	767.394872	773.084848	765.094872	772.224009	772.174592
530.000000	733.114219	734.213753	745.466900	743.149184	739.231235	745.795804	766.717716	762.951515	763.432634	760.896503	746.177622	736.690210	742.084615	752.688112	739.020280	745.450350	752.834499	741.830536	748.991608	750.889977
531.000000	711.262937	711.455012	723.634732	725.571096	718.480653	725.580886	743.512354	737.686480	738.952448	738.106760	724.141725	714.721445	716.691142	730.494639	718.836597	724.326107	728.182051	715.979487	725.621678	728.656410
532.000000	689.066900	688.352681	699.847319	699.686713	699.310723	703.967133	721.391608	714.762937	716.837762	716.524476	700.651981	693.206760	693.324009	707.816550	699.067133	702.077156	702.701399	691.181119	699.315152	705.099767
533.000000	665.865501	667.332867	677.191375	673.754312	678.900233	680.682984	696.298368	691.509790	694.035431	694.718648	677.018415	672.811189	671.531702	685.068765	679.501865	678.546387	677.549417	668.681352	671.545921	678.632634
534.000000	643.915385	644.771329	652.602797	650.617716	657.170396	658.720047	673.168531	668.985315	667.553147	672.044056	654.259907	653.842424	649.109091	659.313986	657.555245	654.261072	652.894639	645.704429	648.224942	653.344056
535.000000	619.771096	622.650117	627.739161	625.967832	635.172727	638.194172	650.144988	643.219347	642.880886	649.116783	631.247319	632.565967	625.352681	636.296270	634.798601	629.775291	631.006061	622.027739	625.842191	627.261538
536.000000	599.608625	599.609557	604.720047	603.007459	609.136131	617.674825	628.400000	620.140093	619.609324	626.791375	609.336830	610.726807	602.966900	612.064103	610.359674	606.960606	607.796037	602.746154	606.544289	604.084848
