Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20
500.000000	234.670629	242.708392	248.806294	262.646154	274.352448	265.174126	269.715385	281.231469	269.046853	276.776224	275.690210	277.134965	276.769231	267.115385	275.476923	268.127972	257.019580	273.966434	275.710490	268.179720
501.000000	240.737063	248.611189	260.789510	275.626573	277.623077	276.294406	280.138462	285.500000	280.015385	288.053846	281.567832	283.000699	279.346853	279.077622	283.037762	277.028671	274.592308	283.855245	282.452448	276.151748
502.000000	247.697203	255.703497	269.956643	285.011189	282.541259	285.711655	288.400932	291.138462	290.083450	295.664103	287.733100	289.168765	283.868998	288.715152	290.480420	286.007459	287.782051	291.219347	288.498368	284.074126
503.000000	255.059557	263.457692	276.905594	291.447203	288.612121	293.561538	294.916317	297.755478	299.147086	300.538228	293.992308	295.492541	289.794522	296.418531	297.633100	294.710606	297.322378	296.663170	293.981352	291.697319
504.000000	262.332634	271.346154	282.234266	295.581818	295.340793	299.979720	300.098135	304.959674	307.102331	303.607459	300.151748	301.825408	296.582284	302.578322	304.324009	302.784382	303.946853	300.791142	299.034499	298.771795
505.000000	269.024942	278.841259	286.540559	298.062238	302.232401	305.101865	304.359907	312.359674	313.845221	305.803030	306.017716	308.020746	303.691142	307.585082	310.381352	309.875058	308.389044	304.207692	303.790909	305.048019
506.000000	273.271329	284.905361	291.471562	298.982517	308.100699	309.160606	308.503730	321.282984	318.694406	310.318182	311.183450	313.760140	309.892308	312.079720	315.515385	314.048019	311.737063	307.952681	308.448951	310.310490
507.000000	276.697436	290.439161	296.786713	300.334266	313.805128	312.402564	312.432867	326.386014	322.084615	314.668765	314.598368	319.990443	315.423310	317.071329	318.670163	318.334732	316.092308	313.141958	312.271562	312.858974
508.000000	280.495338	292.160839	301.235897	303.734266	319.208625	313.790443	318.235431	330.476923	325.186946	317.891608	318.865967	325.358974	319.775524	321.311422	322.599068	321.214452	318.277622	318.275991	318.268765	314.217949
509.000000	282.213986	293.280186	305.859207	308.413986	321.517716	314.507925	321.224009	331.981352	326.706061	323.351515	323.385315	329.534033	325.130769	325.004895	325.332634	321.924709	317.778089	322.793240	322.415618	316.024709
510.000000	283.137995	292.825874	308.566434	311.037995	321.466200	315.200466	322.165268	332.417949	329.859207	327.578322	325.540793	330.783217	326.985781	326.777389	326.251282	322.922378	316.507925	326.719114	326.840793	319.381119
511.000000	282.330070	294.113287	312.310490	311.711189	320.866200	315.667133	322.945221	331.685082	333.452448	329.614452	325.397669	331.679487	329.051282	326.847552	327.152214	323.760606	317.669464	328.013986	329.082517	318.977855
