Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20
475.000000	4.335755	2.024986	6.966273	1.750196	6.723727	1.414713	7.413727	6.065259	1.188210	7.075944	4.997252	4.340867	1.110084	13.259329	1.142427	2.246510	0.366182	-0.023406	6.100853	3.990622
476.000000	3.776811	3.950986	3.638000	1.664825	3.860322	3.033007	5.939524	6.835846	0.912049	6.357448	3.342692	2.870483	2.539874	7.849930	3.182371	0.594147	2.633462	2.462000	5.039552	4.267755
477.000000	3.538016	5.068634	1.803364	2.148277	2.120135	4.097021	4.739734	7.218347	1.072513	5.773429	2.474834	1.916091	3.562114	4.715142	4.314832	0.160797	4.087149	4.049040	4.306364	4.413984
478.000000	3.585446	5.544382	1.182788	3.045290	1.289096	4.675986	3.816760	7.276605	1.527900	5.290564	2.241358	1.407240	4.242427	3.381727	4.735448	0.619638	4.876464	4.899157	3.864022	4.447817
479.000000	3.885177	5.544683	1.496697	4.200601	1.153131	4.839133	3.173005	7.074462	2.136508	4.875529	2.489942	1.273478	4.646434	3.376448	4.639853	1.643844	5.150625	5.173797	3.675263	4.387765
480.000000	4.403284	5.235988	2.465515	5.458949	1.498168	4.655692	2.810872	6.675760	2.756636	4.495000	3.068266	1.444352	4.839758	4.226065	4.223685	2.906592	5.058851	5.034403	3.702823	4.252336
481.000000	5.602886	4.861872	3.864217	6.734119	1.974671	4.021051	2.786783	5.786261	2.932970	3.707914	3.690816	2.194037	4.520832	5.082075	3.789821	3.528860	4.715396	4.752921	4.182170	3.644925
482.000000	6.709179	4.542993	5.221455	7.962203	2.154086	2.924807	3.009452	5.236473	2.689625	3.522788	4.387809	2.536096	4.682597	6.029991	3.180613	3.789557	4.187128	4.469967	4.496704	3.284200
483.000000	6.856462	4.287848	6.191131	7.515531	2.727322	2.807338	3.855224	5.171858	2.579200	2.947282	4.868203	2.776739	5.289543	6.172909	3.543072	3.391091	5.019529	4.287406	4.394138	4.231203
484.000000	6.804371	4.834261	7.002807	6.529958	3.554893	2.690646	4.094897	5.260121	2.999709	2.978406	6.437641	3.370928	5.402450	6.375084	3.454203	3.712044	4.335135	4.180839	4.763061	4.662205
485.000000	6.245662	4.976044	7.252566	6.411625	4.551270	3.130662	4.157643	5.401639	2.263427	3.254893	6.961587	4.513550	5.684520	6.523527	3.699848	4.229569	4.094732	4.275103	5.196221	5.001200
486.000000	5.785068	4.962830	7.515795	6.628578	5.166503	3.461075	4.017855	5.381145	2.301259	3.223786	6.452352	6.149394	6.253552	6.335858	4.502282	4.243732	4.496611	3.845765	4.343289	5.619699
487.000000	5.595175	4.751371	8.044312	5.577499	6.187711	3.981312	4.455615	5.651487	2.324685	2.940179	6.776508	6.694706	7.403245	6.247949	4.649219	3.821275	5.217779	3.958200	4.100112	5.899867
488.000000	4.770098	4.810967	7.952706	5.996100	6.658543	5.000597	5.705140	6.594441	3.263172	4.186625	7.194000	7.062142	8.620932	6.489371	5.668907	3.938161	5.346615	4.636657	2.824196	6.329953
489.000000	5.115373	4.988483	7.391741	5.676429	6.744110	5.528723	5.765814	7.752506	3.812096	5.455510	7.265357	7.823128	8.218333	5.955513	6.933594	5.468499	6.251935	5.269058	3.067214	6.612622
490.000000	6.067681	5.185389	6.813408	7.230263	7.115720	5.742746	6.638991	7.823869	5.809867	6.660415	6.808834	7.516709	8.702979	6.460669	7.396995	7.227268	6.969751	5.144068	4.010685	6.000401
491.000000	7.874984	5.206650	6.936627	8.263932	7.135795	5.199149	7.574592	8.303434	7.532953	7.534765	6.529716	7.613177	8.849914	6.059315	7.695958	8.283427	7.880166	5.609627	4.610580	4.812697
492.000000	9.107723	6.310669	6.962823	8.417235	7.397499	5.600294	8.258928	9.261459	8.537935	8.882413	7.165331	7.786783	9.276911	7.058142	7.748385	9.309643	9.300793	6.686231	5.542259	5.970159
493.000000	9.581149	6.625226	6.887152	7.127326	7.494566	6.254110	9.142478	9.758622	10.117289	9.988124	7.484245	7.561557	9.670448	7.644191	8.887718	9.856615	9.854774	8.405378	6.729490	6.673571
494.000000	10.119930	6.895124	7.395427	6.478338	7.569112	7.194853	9.520200	10.519974	11.430403	10.028082	8.455424	7.878023	10.284266	9.625347	9.231690	10.790527	10.114368	9.808371	6.813853	7.379480
495.000000	10.056914	7.748040	8.080524	6.535921	8.047744	8.515555	9.535357	10.874946	11.419205	10.399427	8.818860	8.751226	10.561564	10.845580	10.485224	11.332571	10.829317	10.771240	8.126557	8.125501
496.000000	9.420960	8.090002	8.201541	7.052783	7.947576	9.225790	9.374280	10.190322	11.691646	10.326200	9.507221	9.617161	10.719559	12.021993	11.338893	10.671834	10.814795	10.866457	8.675159	8.753452
497.000000	8.750848	8.117641	9.466706	7.069490	8.368308	10.367690	10.051191	10.514492	10.988100	10.477979	10.208175	9.381350	10.850900	12.474816	11.906152	10.076345	11.593396	10.234240	10.023529	9.817200
498.000000	7.986445	7.894214	10.182189	7.245235	8.405816	11.686909	9.734296	10.779746	10.117212	11.138098	11.808956	8.976599	10.201988	12.853193	12.828995	9.548350	11.591086	11.063212	10.185378	10.267086
499.000000	8.034727	7.432888	10.282674	7.211231	8.696977	12.431466	9.416457	10.540154	9.543191	11.193720	12.433606	9.252124	9.303021	12.607979	13.085853	9.210937	12.299918	11.237965	10.718839	10.794033
500.000000	7.521895	8.370410	10.493753	8.971697	10.118086	11.954007	9.336072	10.089156	10.214555	10.904455	13.648121	9.508403	9.780189	12.080009	12.134193	9.800471	12.470571	11.207557	10.325550	10.416807
501.000000	7.562436	8.213359	10.940774	9.866079	10.443522	10.895814	8.937790	11.042946	10.803793	10.471781	14.405510	9.999723	10.024653	10.950042	11.115534	9.888490	12.363403	11.751860	10.563550	9.889804
502.000000	7.357175	8.665690	10.052429	11.201207	11.458953	10.072655	9.679438	11.879065	10.076874	11.191210	15.075259	10.169932	10.238744	10.188807	10.283238	10.869445	11.690152	12.594065	10.837690	10.818196
503.000000	8.542527	8.419587	9.797748	11.916373	11.804343	10.314350	10.956443	11.199282	10.704590	11.768424	14.536357	9.703049	10.411506	9.791837	10.698424	11.555347	11.267084	12.754986	10.918434	9.940462
504.000000	9.213807	8.592760	9.951562	13.147049	11.479732	10.365212	11.736322	11.347895	12.023774	11.024860	13.402872	9.750636	11.533340	10.408410	10.499578	12.317079	11.389065	13.221781	11.117725	10.150438
505.000000	10.423096	9.467946	9.933869	13.826706	10.734159	10.271786	12.635107	11.206720	12.803275	12.005268	12.977550	10.175660	11.342403	10.319902	11.488797	12.839720	12.233517	13.034110	11.574193	10.725851
506.000000	11.708179	10.813103	9.609410	14.610289	10.323529	10.136028	12.750417	9.555911	12.159615	12.831387	11.716443	10.366254	11.590657	11.719040	12.220557	13.049457	11.443413	12.527096	12.137441	11.612611
507.000000	12.437310	11.024166	10.409305	14.839529	10.406932	10.451406	12.967841	9.492240	12.395781	13.898042	10.330464	10.754138	11.549678	12.640664	13.168284	12.924830	12.152235	12.103592	11.979772	12.870606
508.000000	13.743455	11.260119	10.743974	14.636443	10.938448	10.960786	12.259636	9.747604	12.812739	14.485163	10.216490	11.500611	12.185646	13.523613	13.539998	13.172145	12.223832	12.893697	11.605510	13.287147
509.000000	14.115963	11.442632	10.825184	14.523403	11.598214	10.682079	12.748005	10.961203	13.775618	14.621618	9.484683	13.093373	12.994014	14.216816	14.309660	12.876387	12.587480	13.724814	11.071520	14.305166
510.000000	13.290769	12.268156	11.462795	13.575793	12.662247	10.234732	12.735431	12.458988	13.547564	14.209114	11.308685	14.864061	14.454247	14.614387	14.277576	13.053916	12.346795	14.057040	10.343058	14.517739
511.000000	13.215804	11.570434	12.680713	12.671235	13.688853	10.252149	12.748881	14.637380	14.216946	13.959604	12.061331	15.267455	15.588350	14.596811	13.489441	13.455315	12.161282	14.078916	11.397324	14.495758
512.000000	12.982821	11.758093	12.922275	12.769499	15.301324	10.200564	14.251259	15.781970	13.841462	14.048741	12.607800	14.864709	16.558583	14.471235	13.752331	14.102284	12.312016	13.650816	11.538629	14.762214
513.000000	13.429977	12.150471	13.428732	12.870443	16.356009	11.158583	14.613217	16.200490	14.518443	14.516713	12.801664	14.182867	17.668093	15.091702	14.464802	14.805921	14.660699	13.040942	12.496252	15.357156
514.000000	12.596177	11.679002	14.220830	12.545326	16.478765	11.323858	14.849837	17.157098	14.931718	14.992331	14.246163	14.444359	19.355669	15.411282	14.497995	15.234196	15.766329	13.134042	14.110121	15.706573
515.000000	12.780163	12.148256	15.082448	13.621375	15.652121	13.013776	16.101305	17.211841	15.056065	16.550140	15.665487	14.514079	18.827855	16.168578	14.672657	15.314965	17.082378	13.980312	14.703270	15.508089
516.000000	13.440909	13.799888	15.781119	14.072343	16.009790	14.103625	16.029277	16.694033	14.180000	16.778368	15.987557	14.450443	19.453240	17.424848	14.713497	15.593100	17.195035	14.759147	15.712979	15.553846
517.000000	13.580070	14.459301	15.628555	14.882191	16.305035	15.995783	16.487319	16.405082	15.539138	17.388462	16.506951	15.975385	18.991422	18.095315	15.445967	15.818112	17.754918	16.374275	16.107366	16.780956
