Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20
475.000000	28.819441	30.470699	35.190979	29.034336	36.161538	33.962727	34.384895	32.827203	31.182657	32.158531	32.050559	25.291259	32.497203	27.043636	37.583007	32.502378	28.130979	29.793776	28.243497	30.336084
476.000000	28.879161	30.498531	32.062378	28.439720	32.898462	30.807552	32.558601	30.032657	31.352238	31.896923	29.938531	27.313986	32.243357	27.757203	33.418671	30.463497	29.129580	30.827203	28.700839	30.211259
477.000000	28.664545	30.262051	30.064848	28.259534	30.691282	28.939301	31.341096	28.348928	31.089371	31.345897	28.908951	28.592331	31.882028	28.301841	30.557855	29.240326	29.728811	31.187063	28.956317	29.830047
478.000000	28.281131	29.852692	28.982984	28.399429	29.387937	28.112494	30.617960	27.571760	30.546958	30.628904	28.710338	29.286049	31.470874	28.733240	28.814604	28.668776	30.028951	31.072867	29.094068	29.320152
479.000000	27.834452	29.361888	28.601375	28.765058	28.836364	28.081655	30.274779	27.496900	29.877902	29.869394	29.091212	29.554895	31.067552	29.107086	28.002960	28.584755	30.130280	30.684126	29.198228	28.809277
480.000000	27.430047	28.881072	28.704615	29.262075	28.884499	28.601305	30.197133	27.920093	29.235105	29.190816	29.800093	29.558625	30.729720	29.479068	27.936970	28.824172	30.133077	30.220350	29.352937	28.425128
481.000000	27.435897	28.587203	28.663030	29.383100	29.760070	29.662984	30.293100	28.678345	29.281399	28.955874	30.151841	29.290396	30.576247	30.325315	28.392261	28.656643	29.947040	29.858392	29.919907	28.982937
482.000000	27.823730	28.420746	28.944895	30.331259	30.397040	29.864825	30.320816	29.338415	29.393636	28.885828	30.468462	29.541002	30.638695	30.634149	29.208811	29.026807	30.307506	30.551888	30.773450	29.458555
483.000000	27.500186	28.763753	29.335268	30.701632	30.868275	30.389534	29.877016	29.748508	29.392844	29.159860	30.847343	29.787716	30.943170	31.207786	29.989953	29.281888	30.952984	31.028415	31.480023	29.280466
484.000000	27.605944	29.592308	30.182494	30.858112	31.338834	30.127552	29.963590	29.786807	29.323590	30.231958	31.157739	30.343590	31.749534	31.321166	31.644196	30.443939	31.520769	32.226923	31.783030	29.828112
485.000000	28.127762	30.272145	30.827855	30.912541	31.974452	30.918019	30.833800	30.338205	29.285804	31.420862	31.431259	31.206760	32.426667	31.506573	32.623287	31.100816	32.340583	33.286573	32.500932	30.874988
486.000000	28.286387	31.057226	31.873916	30.998555	32.730420	31.951655	31.988834	30.855175	30.324499	32.466037	32.314242	32.360093	33.342681	32.429744	33.437646	31.967879	33.764289	34.268112	33.401305	32.121259
487.000000	28.806107	32.022401	31.725711	31.468462	33.202261	33.046597	32.823916	31.801911	31.479091	33.792844	33.282098	33.332238	34.147366	33.324429	34.458089	32.616620	34.653730	34.865688	33.830793	33.516713
488.000000	29.864056	32.930210	32.263473	32.115245	33.054545	34.284825	33.938135	32.775035	33.089953	35.055594	34.723100	33.717413	35.048462	34.201748	35.997156	33.624079	35.695385	35.975734	34.196760	34.733869
489.000000	31.443660	33.733030	32.757669	33.308625	33.984779	35.218182	34.449814	34.452331	35.491026	35.741935	35.742867	35.023473	35.636900	35.475082	37.115758	35.275012	36.374382	36.554965	35.941072	36.359021
490.000000	33.006340	34.321958	33.390793	34.282354	35.347156	36.206317	35.379837	36.412960	36.947110	36.270070	36.879510	36.446573	36.319720	36.892634	37.994172	36.486457	38.015152	37.465828	37.212331	37.750000
491.000000	35.138182	35.083287	34.066667	35.835152	36.350326	36.588928	35.937319	38.212611	39.073217	37.357483	38.258205	38.362494	36.672238	38.964545	38.898601	37.904988	39.438182	38.250653	39.087179	39.693497
492.000000	36.606410	36.289767	35.247739	37.594429	37.320490	37.093776	37.022681	40.253217	40.422564	38.785594	39.332471	40.168462	38.770746	40.147716	39.904545	39.700233	40.650093	39.441422	41.252168	40.885478
493.000000	36.883263	37.715594	36.717156	38.253636	38.540839	37.851305	38.659347	42.008322	41.819091	40.433263	40.741935	41.560536	40.274266	41.587319	41.817343	41.628648	41.539604	40.379953	43.536923	41.939464
494.000000	37.948974	39.190350	39.009977	39.951795	39.929627	38.216527	41.085967	43.255734	42.436573	42.508485	42.476457	43.185897	42.180396	42.979580	43.275361	44.449021	42.994312	41.635688	45.021235	43.608834
495.000000	38.228555	39.894242	41.086970	41.462774	40.809114	40.039254	43.768648	43.950909	42.926923	44.187319	43.752890	45.108601	43.438788	44.558904	44.511841	46.257063	44.788601	42.638811	46.187040	44.636737
496.000000	38.416480	41.071259	43.017203	42.885804	42.171888	41.609114	45.555012	45.092238	43.329161	45.858928	44.740746	46.804779	44.884942	46.289464	45.260117	47.123007	46.861119	43.972145	46.909767	46.544079
497.000000	39.545664	42.506876	43.223147	44.171655	43.939347	43.159324	46.977203	46.250956	43.852005	47.727809	45.675991	47.596853	45.845524	46.982984	46.842028	47.746037	48.036200	45.013124	47.634149	47.404289
498.000000	40.796527	43.875408	44.241422	44.240956	45.047459	45.345874	48.338089	47.126643	45.348998	49.967879	46.598531	48.096737	47.254476	47.630769	48.146270	48.387599	49.421399	46.412517	47.703800	48.918648
499.000000	42.476317	45.455618	44.918485	45.565501	46.569231	46.485152	48.677739	47.677949	46.105035	51.271189	47.098275	48.977809	49.221795	48.883403	49.073450	49.802471	50.365012	47.895221	48.817389	50.501142
500.000000	44.602354	46.135478	45.393473	47.338392	47.667436	47.606527	49.360746	47.453193	46.974685	52.135361	48.010746	49.741026	50.477436	49.646923	49.827413	50.743613	51.846410	48.773893	50.703706	51.891469
501.000000	45.813566	46.655175	46.369883	48.188648	48.466970	48.717296	49.302611	48.127622	47.612308	52.301725	50.163613	51.081142	52.260793	50.985571	50.353030	52.564172	53.100280	50.029557	52.441841	52.751935
502.000000	45.785804	47.024126	46.745897	48.649534	48.650140	49.904103	49.418205	48.823147	48.593776	52.494289	51.674872	51.876387	54.043054	51.606900	51.325524	53.281212	52.958322	51.775408	55.058904	53.413706
503.000000	45.623660	47.670513	47.421119	48.816061	49.715851	51.120769	50.708252	49.058904	50.328555	52.650746	53.072867	51.947086	55.320909	53.029184	52.970280	54.352564	53.464848	52.829487	57.312890	54.322354
