Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20	Smoothed_21	Smoothed_22	Smoothed_23	Smoothed_24	Smoothed_25	Smoothed_26	Smoothed_27	Smoothed_28	Smoothed_29	Smoothed_30
480.000000	178.065734	152.079720	183.041958	192.062238	207.732168	204.113986	172.930769	193.611888	209.296503	219.647552	173.472028	185.007692	174.541259	177.235664	185.511189	160.137762	186.010490	183.509790	198.872727	175.253147	193.140559	167.792308	197.623776	200.112587	171.224476	195.238462	151.925874	152.273427	180.932867	188.861538
481.000000	186.474825	181.240559	190.628671	195.938462	201.985315	201.596503	179.990210	195.671329	199.456643	210.914685	173.682517	193.067133	177.817483	187.403497	197.323077	182.832867	183.041958	176.552448	189.269231	184.797203	193.009091	173.081818	196.288112	199.390210	176.831469	188.598601	172.336364	168.857343	182.633566	177.739161
482.000000	195.523077	201.905128	199.238695	200.653147	202.593706	202.820280	189.482284	199.101865	197.835431	208.000699	181.010023	199.952681	186.292075	196.206061	208.591841	199.468531	186.338228	179.175291	188.710256	194.269930	194.396037	180.540093	197.143124	200.791375	183.163869	188.703030	186.556876	183.958508	186.394639	175.702564
483.000000	205.374476	216.346037	208.888462	206.682284	208.371911	207.447436	200.988228	204.364918	203.013636	209.959441	193.780070	206.537179	198.716317	204.292890	219.494872	211.488578	194.599184	189.340793	195.399883	204.121212	197.611538	189.938695	200.325291	204.347319	190.584266	194.312238	196.534033	197.930653	192.351049	181.221445
484.000000	216.193007	226.835897	219.594406	214.501865	218.134499	215.140093	214.089277	211.921911	213.572028	215.844755	210.318182	213.693473	213.841492	212.313520	230.209557	220.336830	206.524709	205.011422	207.542191	214.800932	202.965734	201.049184	205.971096	210.089277	199.455245	204.186713	204.214452	211.127506	200.637762	192.765501
485.000000	228.142657	235.647319	231.372960	224.587879	230.696037	225.560373	228.366667	222.234266	228.091375	224.710490	228.949883	222.294406	230.418881	220.917483	240.913287	227.457110	220.814685	224.149650	223.341259	226.758974	210.768765	213.643124	214.217016	218.048485	210.139394	217.086946	211.544755	223.902797	211.389744	208.804429
486.000000	241.038228	246.230070	245.532401	241.459441	243.325874	238.989510	243.324709	237.624009	243.831469	233.590210	241.704895	238.599068	242.745221	230.867599	249.865734	233.931469	234.364802	242.997902	235.573893	239.536131	219.775524	226.617716	223.205361	227.754545	223.067366	228.672727	223.513753	234.020280	225.330303	231.515851
487.000000	254.631235	261.589977	256.991608	256.964336	253.614219	251.900000	255.072494	255.639161	259.651748	245.985315	257.189744	253.846620	258.342890	243.318182	262.253613	243.393240	249.178089	258.181119	256.256643	257.335198	235.983683	239.698834	245.394639	241.568531	240.003730	243.402331	240.155012	247.753380	243.543823	247.315152
488.000000	273.198368	283.438695	270.097902	273.713520	267.767832	270.948718	273.304196	276.610723	277.606061	256.631935	281.042657	265.941026	275.792541	257.254545	273.396270	256.474126	260.819580	277.268065	273.887179	278.372960	254.506760	254.226807	262.290676	256.570396	257.624009	260.915851	257.191142	265.607459	261.757576	263.598368
489.000000	295.953380	304.739627	288.868765	291.734965	288.808392	291.793473	289.359674	302.518415	297.206760	275.577389	299.604196	282.360140	290.777389	275.752448	287.682051	270.491375	273.633333	293.478555	290.752214	299.168065	276.141492	274.593473	273.734266	271.088811	279.608392	275.867133	273.114918	283.160140	283.692774	273.564336
