Wavelength	Smoothed_1	Smoothed_2	Smoothed_3	Smoothed_4	Smoothed_5	Smoothed_6	Smoothed_7	Smoothed_8	Smoothed_9	Smoothed_10	Smoothed_11	Smoothed_12	Smoothed_13	Smoothed_14	Smoothed_15	Smoothed_16	Smoothed_17	Smoothed_18	Smoothed_19	Smoothed_20
500.000000	21.875105	12.447483	15.230839	19.110909	24.815524	16.725245	20.942657	9.425832	15.343566	24.036294	18.430909	23.957343	18.494476	21.305315	14.757972	12.894056	18.791189	13.893077	12.291958	18.844266
501.000000	18.198671	15.852517	15.880559	17.184965	21.151748	17.312308	19.142797	15.131077	15.174336	20.324056	17.757832	19.060699	18.045944	19.471329	16.397762	13.924545	18.464755	14.427413	16.087762	19.040070
502.000000	15.970117	17.763660	16.339930	16.220769	18.680210	17.653217	17.754336	18.567860	15.730186	18.009371	17.188601	16.737529	17.743590	18.390396	17.232611	14.890210	18.389767	15.631492	18.592634	19.278625
503.000000	14.971585	18.568858	16.691538	16.050408	17.236690	17.831212	16.764371	20.217126	16.813695	16.878322	16.785897	16.411958	17.612506	17.924114	17.510303	15.793578	18.487261	17.255769	20.082552	19.541142
504.000000	14.985221	18.656061	17.017972	16.505967	16.656970	17.929534	16.160000	20.559818	18.227436	16.716993	16.612401	17.508112	17.677786	17.934079	17.478625	16.637179	18.678275	19.050699	20.833497	19.808834
505.000000	15.793170	18.413217	17.401818	17.419534	16.776830	18.031422	15.928322	20.076881	19.773986	17.311469	16.730793	19.450117	17.964522	18.281888	17.385361	17.423543	18.883846	20.766737	21.121445	20.062914
506.000000	17.850513	19.305385	18.160093	18.688695	17.698718	18.246923	15.977319	19.882844	20.807273	17.881049	17.377296	21.136970	18.966224	18.597762	17.762075	17.912867	18.280932	21.884569	21.315874	19.823893
507.000000	18.970723	19.779580	19.564872	20.089231	18.829883	19.149371	16.372121	18.931259	21.661049	19.460956	18.444802	22.439767	19.868858	19.387133	18.841492	18.408788	18.349814	21.647063	21.689091	19.969767
508.000000	20.065152	19.915851	19.932517	20.818089	19.248089	19.783170	17.252890	19.385571	22.451981	21.956597	19.926457	22.898998	20.112214	19.226457	19.620373	19.307040	18.381142	21.780816	22.883613	20.120233
509.000000	21.389184	21.360047	20.236200	21.493030	20.701492	20.117762	18.657203	20.241305	23.237995	23.640583	21.473403	23.768555	20.503193	19.637110	21.443566	20.267086	19.332844	21.898601	24.542611	21.446970
510.000000	22.085361	22.681702	20.703357	21.723800	21.739953	20.629487	20.235128	21.292681	24.285082	24.403240	23.245641	24.166993	21.936620	20.653776	23.160536	21.866713	20.841422	21.340210	26.098135	22.746643
511.000000	22.570373	22.775991	21.927040	21.492075	22.904149	21.382937	21.745594	21.829441	24.786923	25.013706	24.495152	24.180909	23.551469	20.957483	24.799091	23.563380	21.913939	22.199394	27.296480	23.933193
512.000000	23.702727	24.245361	24.091305	22.005571	24.940583	24.380070	22.401235	23.330420	25.399068	24.514848	25.735711	24.764359	24.564872	21.735944	26.746317	24.636224	23.779068	23.516643	28.492704	25.100653
513.000000	23.920816	25.323217	25.342145	22.211305	25.921235	25.715152	23.769114	24.221818	25.652774	25.400373	27.373636	24.527179	24.593287	22.780117	28.308648	26.002657	24.488601	24.989674	28.826946	25.543566
514.000000	24.955548	25.583450	26.599720	23.465804	27.189790	26.995478	24.909021	25.570839	26.288112	26.312191	27.527832	24.838252	24.707949	24.273263	28.371189	26.334289	27.184056	26.438671	28.827249	26.224149
