Wavelength	Intensity
500.000000	21.916813
501.000000	18.120549
502.000000	15.890230
503.000000	14.962428
504.000000	15.073716
505.000000	15.960669
506.000000	17.359860
507.000000	18.686084
508.000000	20.098601
509.000000	21.105315
510.000000	21.497552
511.000000	22.736364
512.000000	23.784196
513.000000	24.671958
514.000000	24.905594
515.000000	25.472448
516.000000	27.241399
517.000000	28.276923
518.000000	29.035944
519.000000	29.728042
520.000000	30.286643
521.000000	30.578951
522.000000	30.411189
523.000000	31.243287
524.000000	30.828182
525.000000	30.297413
526.000000	29.738462
527.000000	28.765245
528.000000	29.026084
529.000000	27.807552
530.000000	27.417902
531.000000	27.626783
532.000000	27.863846
533.000000	29.307203
534.000000	30.435944
535.000000	32.454545
536.000000	33.937133
537.000000	34.873147
538.000000	35.863357
539.000000	35.818462
540.000000	36.601538
541.000000	36.527832
542.000000	36.054126
543.000000	35.739930
544.000000	35.041469
545.000000	34.947762
546.000000	35.144266
547.000000	35.993497
548.000000	35.742448
549.000000	35.462937
550.000000	34.627762
551.000000	34.004126
552.000000	33.973357
553.000000	33.529790
554.000000	33.441678
555.000000	33.306014
556.000000	33.520350
557.000000	34.269720
558.000000	35.282028
559.000000	36.304685
560.000000	35.883846
561.000000	36.174126
562.000000	35.757552
563.000000	35.486084
564.000000	34.475315
565.000000	34.908042
566.000000	35.460559
567.000000	35.284825
568.000000	36.279231
569.000000	36.730420
570.000000	37.421538
571.000000	38.277343
572.000000	39.256643
573.000000	40.194476
574.000000	40.978462
575.000000	42.245035
576.000000	42.506713
577.000000	44.057203
578.000000	43.718182
579.000000	44.964895
580.000000	47.271608
581.000000	47.821329
582.000000	47.835245
583.000000	48.497203
584.000000	49.511399
585.000000	50.551608
586.000000	50.393706
587.000000	50.879021
588.000000	50.773147
589.000000	51.210559
590.000000	51.377552
591.000000	52.642727
592.000000	52.491049
593.000000	50.903986
594.000000	49.834056
595.000000	49.511958
596.000000	48.361818
597.000000	48.393566
598.000000	47.058671
599.000000	46.843776
600.000000	47.791469
601.000000	48.549930
602.000000	48.391538
603.000000	48.443427
604.000000	47.738881
605.000000	46.850559
606.000000	46.400769
607.000000	44.576853
608.000000	43.849161
609.000000	44.123427
610.000000	43.487692
611.000000	43.935594
612.000000	44.040490
613.000000	43.717552
614.000000	42.488182
615.000000	42.722517
616.000000	43.148601
617.000000	42.291189
618.000000	41.977063
619.000000	41.854126
620.000000	43.608042
621.000000	45.321538
622.000000	45.978322
623.000000	48.195455
624.000000	48.646993
625.000000	50.196503
626.000000	50.872517
627.000000	52.169580
628.000000	53.917552
629.000000	53.996923
630.000000	54.468601
631.000000	56.088601
632.000000	58.863357
633.000000	61.912797
634.000000	64.179161
635.000000	67.829301
636.000000	71.897762
637.000000	80.287343
638.000000	87.806014
639.000000	96.593077
640.000000	105.330559
641.000000	113.381678
642.000000	126.265035
643.000000	138.459231
644.000000	151.895105
645.000000	166.388671
646.000000	180.098601
647.000000	196.610490
648.000000	214.979720
649.000000	233.987413
650.000000	250.518182
651.000000	265.815385
652.000000	278.010490
653.000000	291.916783
654.000000	304.755944
655.000000	310.081818
656.000000	315.017483
657.000000	319.696503
658.000000	323.213986
659.000000	328.217483
660.000000	334.253147
661.000000	344.153846
662.000000	355.770629
663.000000	372.612587
664.000000	391.572028
665.000000	420.180420
666.000000	454.623776
667.000000	497.617483
668.000000	550.542657
669.000000	615.150350
670.000000	688.501399
671.000000	777.834266
672.000000	888.525874
673.000000	1014.677622
674.000000	1151.293007
675.000000	1295.305594
676.000000	1445.704196
677.000000	1598.590210
678.000000	1748.916783
679.000000	1882.623077
680.000000	1982.692308
681.000000	2057.776224
682.000000	2088.979021
683.000000	2090.000000
684.000000	2056.552448
685.000000	1996.251748
686.000000	1912.769231
687.000000	1805.097902
688.000000	1698.020979
689.000000	1591.083916
690.000000	1493.400699
691.000000	1395.322378
692.000000	1299.352448
693.000000	1221.225175
694.000000	1144.197902
695.000000	1076.787413
696.000000	1014.655944
697.000000	964.572727
698.000000	917.404196
699.000000	876.648951
700.000000	846.617483
701.000000	823.476923
702.000000	803.032168
703.000000	783.481818
704.000000	770.119580
705.000000	760.767133
706.000000	752.288112
707.000000	740.596503
708.000000	729.848252
709.000000	718.287413
710.000000	709.798601
711.000000	703.562238
712.000000	692.946853
713.000000	686.748951
714.000000	677.851049
715.000000	666.490210
716.000000	653.847552
717.000000	639.896503
718.000000	625.648951
719.000000	610.544056
720.000000	597.126573
721.000000	581.035664
722.000000	568.462937
723.000000	552.202797
724.000000	536.032867
725.000000	524.703497
726.000000	512.160140
727.000000	497.186014
728.000000	483.265035
729.000000	469.187413
730.000000	454.651748
731.000000	438.641958
732.000000	423.549650
733.000000	406.997902
734.000000	389.546853
735.000000	369.681818
736.000000	351.527972
737.000000	336.574825
738.000000	323.955944
739.000000	310.195105
740.000000	297.462238
741.000000	284.492308
742.000000	272.418881
743.000000	258.612587
744.000000	247.354545
745.000000	236.330070
746.000000	225.945455
747.000000	215.853147
748.000000	205.365035
749.000000	196.025175
750.000000	187.495105
751.000000	176.437762
752.000000	167.464336
753.000000	158.495804
754.000000	149.126573
755.000000	138.990210
756.000000	131.545455
757.000000	124.506084
758.000000	117.492308
759.000000	109.417413
760.000000	102.828741
761.000000	97.578811
762.000000	91.825315
763.000000	85.208392
764.000000	80.541259
765.000000	74.926783
766.000000	70.535734
767.000000	66.575664
768.000000	63.582028
769.000000	59.593986
770.000000	54.427552
771.000000	50.934336
772.000000	48.552308
773.000000	45.784336
774.000000	42.998042
775.000000	40.492028
776.000000	39.173357
777.000000	37.944755
778.000000	37.414266
779.000000	36.010909
780.000000	33.792238
781.000000	32.145315
782.000000	30.596993
783.000000	29.519510
784.000000	28.684615
785.000000	27.438601
786.000000	26.173566
787.000000	25.577902
788.000000	25.413147
789.000000	25.636154
790.000000	24.884336
791.000000	24.811189
792.000000	23.531888
793.000000	23.827622
794.000000	24.073427
795.000000	23.775644
796.000000	23.367458
797.000000	22.847852
798.000000	22.215814
799.000000	21.470330
800.000000	20.610385
